15	10	E	-9710645.990288706	106
emissionprobs	12	1	H3k04me1	1	0.03356950883291118
emissionprobs	12	2	H3k04me2	0	0.556929316668175
emissionprobs	12	2	H3k04me2	1	0.4430706833318249
emissionprobs	12	3	H3k04me3	0	0.629028600978268
emissionprobs	12	3	H3k04me3	1	0.37097139902173193
emissionprobs	12	4	H3k09ac	0	0.7805840186353091
emissionprobs	12	4	H3k09ac	1	0.2194159813646908
emissionprobs	12	5	H3k09me3	0	0.9917560519773834
emissionprobs	12	5	H3k09me3	1	0.008243948022616585
emissionprobs	12	6	H3k27ac	0	0.6631674076717438
emissionprobs	12	6	H3k27ac	1	0.3368325923282563
emissionprobs	12	7	H3k27me3	0	0.9994413255985372
emissionprobs	12	7	H3k27me3	1	5.586744014628196E-4
emissionprobs	12	8	H3k36me3	0	0.9962728942860579
emissionprobs	12	8	H3k36me3	1	0.0037271057139420757
emissionprobs	12	9	H3k79me2	0	0.970906622654522
emissionprobs	12	9	H3k79me2	1	0.029093377345478094
emissionprobs	13	0	H2az	0	0.9255569233545539
emissionprobs	13	0	H2az	1	0.07444307664544617
emissionprobs	13	1	H3k04me1	0	0.23784655702990648
emissionprobs	13	1	H3k04me1	1	0.7621534429700936
emissionprobs	13	2	H3k04me2	0	0.012497987297084562
emissionprobs	13	2	H3k04me2	1	0.9875020127029155
emissionprobs	13	3	H3k04me3	0	0.17540501308922002
emissionprobs	13	3	H3k04me3	1	0.8245949869107799
emissionprobs	13	4	H3k09ac	0	0.0862383527239543
emissionprobs	13	4	H3k09ac	1	0.9137616472760458
emissionprobs	13	5	H3k09me3	0	0.9917193516872008
emissionprobs	13	5	H3k09me3	1	0.008280648312799059
emissionprobs	13	6	H3k27ac	0	0.16643922681440518
emissionprobs	13	6	H3k27ac	1	0.8335607731855947
emissionprobs	13	7	H3k27me3	0	0.9996789864020805
emissionprobs	13	7	H3k27me3	1	3.210135979195585E-4
emissionprobs	13	8	H3k36me3	0	0.7652661401030627
emissionprobs	13	8	H3k36me3	1	0.23473385989693726
emissionprobs	13	9	H3k79me2	0	0.057117617866858816
emissionprobs	13	9	H3k79me2	1	0.9428823821331411
emissionprobs	14	0	H2az	0	0.311601905776866
emissionprobs	14	0	H2az	1	0.688398094223134
emissionprobs	14	1	H3k04me1	0	0.685572593969535
emissionprobs	14	1	H3k04me1	1	0.3144274060304651
emissionprobs	14	2	H3k04me2	0	0.061025041673017054
emissionprobs	14	2	H3k04me2	1	0.9389749583269829
emissionprobs	14	3	H3k04me3	0	0.40399402793411043
emissionprobs	14	3	H3k04me3	1	0.5960059720658897
emissionprobs	14	4	H3k09ac	0	0.8682797585555666
emissionprobs	14	4	H3k09ac	1	0.13172024144443348
emissionprobs	14	5	H3k09me3	0	0.9693167903004146
emissionprobs	14	5	H3k09me3	1	0.03068320969958547
emissionprobs	14	6	H3k27ac	0	0.8594937214992469
emissionprobs	14	6	H3k27ac	1	0.14050627850075315
emissionprobs	14	7	H3k27me3	0	0.6739425842109897
emissionprobs	14	7	H3k27me3	1	0.32605741578901026
emissionprobs	14	8	H3k36me3	0	0.9974212882610768
emissionprobs	14	8	H3k36me3	1	0.0025787117389231896
emissionprobs	14	9	H3k79me2	0	0.9995954976975712
emissionprobs	14	9	H3k79me2	1	4.0450230242879766E-4
emissionprobs	15	0	H2az	0	0.46779034666487596
emissionprobs	15	0	H2az	1	0.532209653335124
emissionprobs	15	1	H3k04me1	0	0.7566579902667032
emissionprobs	15	1	H3k04me1	1	0.2433420097332968
emissionprobs	15	2	H3k04me2	0	0.9114026858689649
emissionprobs	15	2	H3k04me2	1	0.08859731413103514
emissionprobs	15	3	H3k04me3	0	0.996436513835081
emissionprobs	15	3	H3k04me3	1	0.0035634861649189954
emissionprobs	15	4	H3k09ac	0	0.9944443523651049
emissionprobs	15	4	H3k09ac	1	0.005555647634895156
emissionprobs	15	5	H3k09me3	0	0.9771552049979974
emissionprobs	15	5	H3k09me3	1	0.022844795002002746
emissionprobs	15	6	H3k27ac	0	0.9940111984991463
emissionprobs	15	6	H3k27ac	1	0.005988801500853669
emissionprobs	15	7	H3k27me3	0	0.9824041522782758
emissionprobs	15	7	H3k27me3	1	0.017595847721724112
emissionprobs	15	8	H3k36me3	0	0.9984087615158422
emissionprobs	15	8	H3k36me3	1	0.0015912384841577636
emissionprobs	15	9	H3k79me2	0	0.9999586209435054
emissionprobs	15	9	H3k79me2	1	4.137905649461849E-5
